activity_id,attraction_id,activity_name,activity_full_name,activity_description,activities_keywords,min_duration,max_duration,price,currency
40,11,Walking along the River Thames,Walking along the River Thames at Richmond Palace,"Enjoy a leisurely stroll along the River Thames, passing by the historic Richmond Palace.","Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Couples, Walking, Short (1-2 hours)",1 hour,2 hours,Free,-
41,11,Visiting the Richmond Museum,Visiting the Richmond Museum at Richmond Palace,Explore the rich history of Richmond Palace through artifacts and exhibits at the museum.,"Educational, History, Guided, Museum, Traditional, Family-Friendly, Kid-Friendly, Indoor, Short (1-2 hours)",1 hour,1.5 hours,8,GBP
42,11,Enjoying the Richmond Green,Enjoying the Richmond Green at Richmond Palace,Experience the historic beauty of Richmond Palace while relaxing in the tranquil Richmond Green.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Couples, Picnic, Short (1-2 hours)",30 minutes,1 hour,Free,-
43,12,Touring the Old Royal Naval College,Touring the Old Royal Naval College at Greenwich Palace,Explore the historic grounds and stunning architecture of the Old Royal Naval College.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Walking, Short (1-2 hours)",1.5 hours,2.5 hours,12,GBP
44,12,Visiting the Queen's House,Visiting the Queen's House at Greenwich Palace,Explore the stunning architecture and art collection of the Queen's House.,"Educational, History, Guided, Museum, Art & Design, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1 hour,2 hours,10,GBP
45,12,Exploring the Greenwich Park,Exploring the Greenwich Park at Greenwich Palace,Discover the rich history and royal connections of Greenwich Palace while exploring the beautiful Greenwich Park.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Walking, Traditional, Full-Day",1.5 hours,3 hours,Free,-
46,12,Learning at the National Maritime Museum,Learning at the National Maritime Museum at Greenwich Palace,Explore maritime history through interactive exhibits and hands-on activities.,"Educational, History, Guided, Museum, Traditional, Family-Friendly, Kid-Friendly, Indoor, Technology, Short (1-2 hours)",1.5 hours,2.5 hours,15,GBP
47,13,Viewing the art collection,Viewing the art collection at The Queen's House,Explore a historic royal art collection in a stunning 17th century building.,"Art & Design, Scenic, Museum, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",1 hour,2 hours,10,GBP
48,13,Walking through the Tulip Stairs,"Walking through the Tulip Stairs at The Queen's House	","Unique spiral staircase in the first centrally unsupported helical stairs in Britain.	","Scenic, Architecture, Museum, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",30 minutes,1 hour,Free,
49,13,Enjoying the views from the Great Hall,Enjoying the views from the Great Hall at The Queen's House,Unique views of London's skyline from a historic building.,"Scenic, Architecture, Museum, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",30 minutes,1 hour,Free,-
50,13,Attending an art workshop,Attending an art workshop at The Queen's House,Immerse yourself in a historic setting while exploring your creativity.,"Interactive, Educational, Art & Craft, Family-Friendly, Kid-Friendly, Workshops, Traditional, Hands-On, Short (1-2 hours)",2 hours,4 hours,20,GBP
51,14,Touring the royal residence,Touring the royal residence at Clarence House,Explore the historic home of the British royal family.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1 hour,1.5 hours,15,GBP
52,14,Exploring the gardens,Exploring the gardens at Clarence House,Discover the hidden oasis within the heart of London.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Short (1-2 hours)",30 minutes,1 hour,Free,-
53,14,Viewing the art and furnishings,Viewing the art and furnishings at Clarence House,Exploring the royal collection at Clarence House offers a glimpse into the personal tastes of the British royal family.,"Art & Design, Scenic, Museum, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",1 hour,1.5 hours,10,GBP
54,14,Attending a guided tour,Attending a guided tour at Clarence House,Explore the official London residence of The Prince of Wales and The Duchess of Cornwall.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1 hour,1.5 hours,15,GBP
55,15,Touring the historic interiors,Touring the historic interiors at Marlborough House,Exploring the opulent and grandiose royal residence of Marlborough House.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1 hour,1.5 hours,12,GBP
56,15,Exploring the gardens,Exploring the gardens at Marlborough House,Experience the tranquil beauty of Marlborough House gardens.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Short (1-2 hours)",30 minutes,1 hour,Free,-
57,15,Learning about Commonwealth history,Learning about Commonwealth history at Marlborough House,Exploring the rich history of the Commonwealth at Marlborough House.,"Educational, History, Guided, Museum, Traditional, Family-Friendly, Kid-Friendly, Indoor, Short (1-2 hours)",1 hour,2 hours,10,GBP
58,15,Attending cultural events,Attending cultural events at Marlborough House,Unique opportunity to experience royal history and culture at a historic royal residence.,"Cultural Immersion, Traditional, Guided, Family-Friendly, Kid-Friendly, Events, Community Engagement, Fixed Duration",2 hours,4 hours,20,GBP
59,16,Ice skating in the courtyard,Ice skating in the courtyard at Somerset House,Ice skating in the courtyard at Somerset House offers a magical winter experience in London.,"Adventure, Interactive, Family-Friendly, Kid-Friendly, Fun, Outdoor, Seasonal, Moderate Exertion, Winter, Couples",1 hour,2 hours,15,GBP
60,16,Visiting the art galleries,Visiting the art galleries at Somerset House,Explore diverse and thought-provoking contemporary art exhibitions in a historic setting.,"Art & Design, Scenic, Museum, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",1 hour,2 hours,10,GBP
61,16,Enjoying outdoor cinema screenings,Enjoying outdoor cinema screenings at Somerset House,Watching classic films under the stars in the historic courtyard of Somerset House.,"Relaxing, Scenic, Entertainment, Family-Friendly, Kid-Friendly, Couples, Outdoor, Evening, Seasonal Events",2 hours,4 hours,20,GBP
62,16,Participating in workshops,Participating in workshops at Somerset House,Opportunity to learn new skills and techniques from industry experts in a historic setting.,"Interactive, Educational, Art & Craft, Family-Friendly, Kid-Friendly, Workshops, Traditional, Hands-On, Short (1-2 hours)",2 hours,4 hours,15,GBP
63,17,Touring the historic house,Touring the historic house at Syon House,Explore the grandeur and history of Syon House through a guided tour of its historic rooms and gardens.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1.5 hours,2.5 hours,15,GBP
64,17,Exploring the gardens and Great Conservatory,Exploring the gardens and Great Conservatory at Syon House,Discover the exquisite beauty of the gardens and Great Conservatory at Syon House.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Short (1-2 hours)",1 hour,2 hours,10,GBP
65,17,Visiting the Syon Park Garden Centre,Visiting the Syon Park Garden Centre at Syon House,Explore a historic garden center located on the grounds of a stunning stately home.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Couples, Shopping, Short (1-2 hours)",1 hour,2 hours,Free,-
66,17,Attending seasonal events,Attending seasonal events at Syon House,Experience the grandeur of a historic stately home while enjoying a variety of seasonal events.,"Cultural Immersion, Traditional, Seasonal Events, Family-Friendly, Kid-Friendly, Community Engagement, Guided, Fun, Best Time to Visit, Fixed Duration",2 hours,4 hours,20,GBP
67,18,Exploring the royal kitchens,Exploring the royal kitchens at Kew Palace,Get a taste of royal history by exploring the kitchens at Kew Palace.,"Educational, History, Traditional, Culinary, Guided, Family-Friendly, Kid-Friendly, Short (1-2 hours), Indoor",1 hour,1.5 hours,10,GBP
68,18,Walking through the Kew Gardens,Walking through the Kew Gardens at Kew Palace,Experience the beauty of a UNESCO World Heritage Site.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Full-Day",1.5 hours,3 hours,15,GBP
69,18,Visiting the Great Pagoda,Visiting the Great Pagoda at Kew Palace,Experience the stunning 10-storey pagoda in the heart of London.,"Scenic, Architecture, Traditional, Family-Friendly, Kid-Friendly, Guided, Educational, Short (1-2 hours)",1 hour,1.5 hours,10,GBP
70,18,Learning at the botanical exhibitions,Learning at the botanical exhibitions at Kew Palace,Interactive learning experience with historical and botanical elements.,"Educational, History, Traditional, Museum, Family-Friendly, Kid-Friendly, Guided, Technology, Short (1-2 hours)",1.5 hours,2.5 hours,12,GBP
71,19,Touring the Georgian mansion,Touring the Georgian mansion at Osterley Park House,Explore the opulent interiors and extensive art collection of a Georgian mansion.,"Educational, History, Guided, Architecture, Traditional, Family-Friendly, Kid-Friendly, Scenic, Short (1-2 hours)",1.5 hours,2.5 hours,12,GBP
72,19,Strolling through the gardens,Strolling through the gardens at Osterley Park House,Enjoying the beautiful scenery and historical architecture of Osterley Park House.,"Relaxing, Scenic, Outdoors, Nature & Wildlife, Family-Friendly, Kid-Friendly, Elderly-Friendly, Couples, Walking, Short (1-2 hours)",1 hour,2 hours,8,GBP
73,19,Enjoying the tea room,Enjoying the tea room at Osterley Park House,Experience a traditional English afternoon tea in a stunning historic setting.,"Cultural Immersion, Local Cuisine, Traditional, Gourmet Experiences, Couples, Family-Friendly, Kid-Friendly, Mid-Range, Short (1-2 hours), Low Exertion",1 hour,1.5 hours,15,GBP
74,20,Touring the National Physical Laboratory,Touring the National Physical Laboratory at Bushy House,Explore groundbreaking scientific research and innovation at the National Physical Laboratory.,"Educational, Science & Innovation, Guided, Technology, Family-Friendly, Kid-Friendly, Indoor, Short (1-2 hours)",1.5 hours,2.5 hours,10,GBP
75,21,Hiking the Inca Trail,Hiking the Inca Trail to Machu Picchu,Trek the ancient Inca Trail through the Andes to reach the iconic Machu Picchu.,"Adventure, Advanced, Outdoor, Scenic, Bucket List, Unique Experience, High Exertion, Guided, South America, Remote Locations, UNESCO World Heritage Sites, Mountain Regions, Multi-Day",4 days,5 days,500,USD
76,22,Exploring the Pyramids of Giza,Exploring the Pyramids of Giza,"Visit the ancient pyramids, one of the Seven Wonders of the Ancient World, in the Egyptian desert.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Africa, Desert Activities, Popular Tourist Destinations, Half-Day, Full-Day, Moderate Exertion",3 hours,5 hours,60,EGP
77,23,Snorkeling the Great Barrier Reef,Snorkeling the Great Barrier Reef,Dive into the world’s largest coral reef system and explore its vibrant marine life.,"Adventure, Intermediate, Outdoor, Scenic, Nature & Wildlife, Guided, Unique Experience, Bucket List, Australia & Oceania, Islands, Coastal Regions, UNESCO World Heritage Sites, Half-Day, Full-Day",2 hours,6 hours,150,AUD
78,24,Exploring the Colosseum,Exploring the Colosseum in Rome,"Tour the iconic Roman Colosseum, an ancient amphitheater that hosted gladiator battles.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Architecture, Half-Day",2 hours,3 hours,18,EUR
79,25,Climbing Mount Kilimanjaro,Climbing Mount Kilimanjaro,"Summit the highest peak in Africa, Mount Kilimanjaro, through a guided expedition.","Adventure, Advanced, Outdoor, Scenic, Bucket List, Unique Experience, High Exertion, Guided, Africa, Mountain Regions, Remote Locations, Multi-Day",7 days,10 days,1200,USD
80,26,Visiting the Taj Mahal,Visiting the Taj Mahal in Agra,"Explore the stunning marble mausoleum, a UNESCO World Heritage site and symbol of eternal love.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Asia, Urban Centers, Popular Tourist Destinations, Architecture, Half-Day, Full-Day",2 hours,4 hours,15,INR
81,27,Walking the Great Wall of China,Walking the Great Wall of China,"Experience one of the world's greatest engineering feats, stretching over 13,000 miles.","Educational, History, Guided, Traditional, Scenic, Bucket List, UNESCO World Heritage Sites, Asia, Mountain Regions, Popular Tourist Destinations, Half-Day, Full-Day, Moderate Exertion",4 hours,8 hours,40,CNY
82,28,Safari in the Serengeti,Safari in the Serengeti National Park,"Embark on a wildlife safari in Tanzania’s Serengeti, home to the Big Five and the Great Migration.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Guided, Unique Experience, Bucket List, Africa, Remote Locations, National Parks, Conservation-Focused, Half-Day, Full-Day",3 days,7 days,1500,USD
83,29,Visiting the Louvre Museum,Visiting the Louvre Museum in Paris,"Discover the world’s largest art museum, home to the Mona Lisa and thousands of other masterpieces.","Educational, Art & Design, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Indoor, Half-Day, Full-Day",2 hours,5 hours,17,EUR
84,30,Seeing the Northern Lights,Seeing the Northern Lights in Iceland,Witness the breathtaking Aurora Borealis in the dark skies of Iceland.,"Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, Europe, Remote Locations, Arctic & Antarctic, Night Adventures, Seasonal, Half-Day, Full-Day",3 hours,5 hours,100,ISK
85,31,Diving in the Blue Hole,"Diving in the Blue Hole, Belize","Dive into the world-famous Blue Hole, a giant marine sinkhole and a diver’s paradise.","Adventure, Advanced, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, Islands, Remote Locations, UNESCO World Heritage Sites, Underwater, Half-Day, Full-Day",1 hour,2 hours,300,USD
86,32,Exploring Petra,"Exploring Petra, Jordan","Walk through the ancient city of Petra, known as the Rose City, carved into the red sandstone cliffs.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Middle East, Desert Activities, Remote Locations, Popular Tourist Destinations, Architecture, Half-Day, Full-Day",3 hours,6 hours,70,JOD
87,33,Visiting the Eiffel Tower,Visiting the Eiffel Tower in Paris,Ascend the Eiffel Tower for stunning views of Paris from this iconic landmark.,"Scenic, Architecture, Guided, Bucket List, Europe, Urban Centers, Popular Tourist Destinations, Half-Day, Full-Day",1 hour,2 hours,25,EUR
88,34,Ballooning over Cappadocia,"Ballooning over Cappadocia, Turkey",Float over the surreal landscapes of Cappadocia in a hot air balloon at sunrise.,"Adventure, Intermediate, Outdoor, Scenic, Unique Experience, Bucket List, Europe, Remote Locations, Popular Tourist Destinations, Desert Activities, Hot Climate, Half-Day",1 hour,1.5 hours,180,TRY
89,35,Wine Tasting in Napa Valley,"Wine Tasting in Napa Valley, California","Savor the finest wines in the picturesque vineyards of Napa Valley, a top wine-producing region.","Relaxing, Scenic, Cultural Immersion, Local Cuisine, Gourmet Experiences, Couples, Guided, Mid-Range, North America, Coastal Regions, Half-Day",2 hours,4 hours,100,USD
90,36,Visiting the Statue of Liberty,"Visiting the Statue of Liberty, New York","Explore the iconic symbol of freedom and democracy, and enjoy views of New York City from the crown.","Educational, History, Guided, Traditional, Bucket List, North America, Urban Centers, Popular Tourist Destinations, Half-Day",2 hours,3 hours,25,USD
91,37,Trekking to Everest Base Camp,"Trekking to Everest Base Camp, Nepal","Embark on a challenging trek to the base camp of the world’s highest mountain, Mount Everest.","Adventure, Advanced, Outdoor, Scenic, Bucket List, Unique Experience, High Exertion, Guided, Asia, Mountain Regions, Remote Locations, Multi-Day",12 days,14 days,1200,USD
92,38,Touring the Vatican Museums,"Touring the Vatican Museums, Vatican City","Explore the vast art collections of the Vatican Museums, including the Sistine Chapel.","Educational, Art & Design, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Europe, Urban Centers, Popular Tourist Destinations, Indoor, Half-Day, Full-Day",3 hours,4 hours,17,EUR
93,39,Exploring the Galápagos Islands,"Exploring the Galápagos Islands, Ecuador",Discover the unique wildlife and pristine landscapes of the Galápagos Islands on an eco-tour.,"Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Unique Experience, Bucket List, South America, Islands, Remote Locations, UNESCO World Heritage Sites, Conservation-Focused, Multi-Day",5 days,10 days,2500,USD
94,40,Visiting Angkor Wat,"Visiting Angkor Wat, Cambodia","Explore the largest religious monument in the world, the ancient Angkor Wat temple complex.","Educational, History, Guided, Traditional, Bucket List, UNESCO World Heritage Sites, Asia, Remote Locations, Popular Tourist Destinations, Architecture, Half-Day, Full-Day",3 hours,5 hours,37,USD
95,41,Exploring the Grand Canyon,"Exploring the Grand Canyon, Arizona","Hike, raft, or fly over the awe-inspiring Grand Canyon, one of the natural wonders of the world.","Adventure, Intermediate, Outdoor, Nature & Wildlife, Scenic, Bucket List, North America, Mountain Regions, Remote Locations, National Parks, Popular Tourist Destinations, Half-Day, Full-Day",4 hours,8 hours,85,USD
